name,number,spkid,fullname,exact,status
Kashiwagi,11664.0,20011664.0,11664 Kashiwagi (1997 GX24),True,resolved
Haruna,12734.0,20012734.0,12734 Haruna (1991 UF3),True,resolved
Barnardiana,819.0,20000819.0,819 Barnardiana (A916 EA),True,resolved
Heyuan,3746.0,20003746.0,3746 Heyuan (1964 TC1),True,resolved
Tmutarakania,10012.0,20010012.0,10012 Tmutarakania (1978 RE3),True,resolved
Chernega,10005.0,20010005.0,10005 Chernega (1976 SS2),True,resolved
Tyndall,22694.0,20022694.0,22694 Tyndall (1998 QF104),True,resolved
Kerch,2216.0,20002216.0,2216 Kerch (1971 LF),True,resolved
Schlegel,12659.0,20012659.0,12659 Schlegel (1973 UR5),True,resolved
Laques,12042.0,20012042.0,12042 Laques (1997 FC),True,resolved
Bartolucci,33480.0,20033480.0,33480 Bartolucci (1999 GA1),True,resolved
Oobayashiarata,12800.0,20012800.0,12800 Oobayashiarata (1995 WQ7),True,resolved
Seydler,6586.0,20006586.0,6586 Seydler (1984 UK1),True,resolved
Ohtani Hiroshi,10138.0,20010138.0,10138 Ohtanihiroshi (1993 SS1),True,resolved
Lozino Lozinskij,17358,20017358,17358 Lozino-Lozinskij,True,resolved
Kraus,27049.0,20027049.0,27049 Kraus (1998 SB3),True,resolved
Grange,4885.0,20004885.0,4885 Grange (1980 LU),True,resolved
Andree,1296.0,20001296.0,1296 Andree (1933 WE),True,resolved
John Paul Jones,9258.0,20009258.0,9258 Johnpauljones (2137 T-2),True,resolved
Bleeker,9693.0,20009693.0,9693 Bleeker (6547 P-L),True,resolved
Angrogna,8420.0,20008420.0,8420 Angrogna (1996 WQ),True,resolved
Blaha,22442.0,20022442.0,22442 Blaha (1996 TM9),True,resolved
Bastei,26757.0,20026757.0,26757 Bastei (2001 KU17),True,resolved
Hildrun,928.0,20000928.0,928 Hildrun (A920 DC),True,resolved
Fugaku,3996.0,20003996.0,3996 Fugaku (1988 XG1),True,resolved
Schopenhauer,7015.0,20007015.0,7015 Schopenhauer (1990 QC8),True,resolved
Vorarlberg,6332.0,20006332.0,6332 Vorarlberg (1992 FP3),True,resolved
Gutemberga,777.0,20000777.0,777 Gutemberga (A914 BF),True,resolved
Paulina,278.0,20000278.0,278 Paulina (A888 KA),True,resolved
Bruns Andrej,4687.0,20004687.0,4687 Brunsandrej (1979 SJ11),True,resolved
Hohmann,9661.0,20009661.0,9661 Hohmann (1996 FU13),True,resolved
Yano,8906.0,20008906.0,8906 Yano (1995 WF2),True,resolved
Reiki,5239.0,20005239.0,5239 Reiki (1990 VC4),True,resolved
Bredichina,786.0,20000786.0,786 Bredichina (A914 HD),True,resolved
Lasorda,6128.0,20006128.0,6128 Lasorda (1989 LA),True,resolved
Rosa Hemphill,22581.0,20022581.0,22581 Rosahemphill (1998 HH77),True,resolved
Arina,3523.0,20003523.0,3523 Arina (1975 TV2),True,resolved
Delmas,11147.0,20011147.0,11147 Delmas (1997 XT5),True,resolved
Manu Boccuni,17720.0,20017720.0,17720 Manuboccuni (1997 XH10),True,resolved
Ron Neuman,17097.0,20017097.0,17097 Ronneuman (1999 JX31),True,resolved
Masaryk,1841.0,20001841.0,1841 Masaryk (1971 UO1),True,resolved
Aquamarine,11322.0,20011322.0,11322 Aquamarine (1995 QT),True,resolved
Deira,1244.0,20001244.0,1244 Deira (1932 KE),True,resolved
Waltimyer,22998.0,20022998.0,22998 Waltimyer (1999 VY70),True,resolved
Svecica,8443.0,20008443.0,8443 Svecica (4343 T-3),True,resolved
van Leverink,10965.0,20010965.0,10965 van Leverink (3297 T-1),True,resolved
Rollandia,1269.0,20001269.0,1269 Rollandia (1930 SH),True,resolved
Texereau,3765.0,20003765.0,3765 Texereau (1982 SU1),True,resolved
Tabora,721.0,20000721.0,721 Tabora (A911 UM),True,resolved
Miyama,8296.0,20008296.0,8296 Miyama (1993 AD),True,resolved
Lub,7506.0,20007506.0,7506 Lub (4837 P-L),True,resolved
Ucka,9657.0,20009657.0,9657 Ucka (1996 DG2),True,resolved
Garuda,2307.0,20002307.0,2307 Garuda (1957 HJ),True,resolved
Nemsu,24778.0,20024778.0,24778 Nemsu (1993 KW1),True,resolved
Goethe,3047.0,20003047.0,3047 Goethe (6091 P-L),True,resolved
Vilyujsk,2890.0,20002890.0,2890 Vilyujsk (1978 SY7),True,resolved
Lysistrata,897.0,20000897.0,897 Lysistrata (A918 PF),True,resolved
Mons Naklethi,20964.0,20020964.0,20964 Mons Naklethi (1977 UA),True,resolved
Kovalevskaya,1859.0,20001859.0,1859 Kovalevskaya (1972 RS2),True,resolved
Tuchkova,3803.0,20003803.0,3803 Tuchkova (1981 TP1),True,resolved
Roberto Carlos,19517.0,20019517.0,19517 Robertocarlos (1998 SK164),True,resolved
AAS,3654.0,20003654.0,3654 AAS (1949 QH1),True,resolved
Hedin,5837.0,20005837.0,5837 Hedin (2548 P-L),True,resolved
Amphitrite,29.0,20000029.0,29 Amphitrite (A854 EB),True,resolved
Hortulana,8966.0,20008966.0,8966 Hortulana (3287 T-1),True,resolved
Putignano,7665.0,20007665.0,7665 Putignano (1994 TK3),True,resolved
Mathieu,1592.0,20001592.0,1592 Mathieu (1951 LA),True,resolved
Tito,1550.0,20001550.0,1550 Tito (1937 WD),True,resolved
Haidea,368.0,20000368.0,368 Haidea (A893 KC),True,resolved
Veronica Duys,24028.0,20024028.0,24028 Veronicaduys (1999 RP182),True,resolved
Natasha Owen,13234.0,20013234.0,13234 Natashaowen (1998 FC74),True,resolved
Serkowski,2225.0,20002225.0,2225 Serkowski (6546 P-L),True,resolved
Hardy,2866.0,20002866.0,2866 Hardy (1961 TA),True,resolved
Otthild,994.0,20000994.0,994 Otthild (A923 FB),True,resolved
Baehr,26821.0,20026821.0,26821 Baehr (1988 FM1),True,resolved
Varsavia,1263.0,20001263.0,1263 Varsavia (1933 FF),True,resolved
Ramsden,8001.0,20008001.0,8001 Ramsden (1986 TR3),True,resolved
Kazakov,5544.0,20005544.0,5544 Kazakov (1978 TH6),True,resolved
Kobresia,1233.0,20001233.0,1233 Kobresia (1931 TG2),True,resolved
Mertona,1299.0,20001299.0,1299 Mertona (1934 BA),True,resolved
