index,name,verified
0,Kashiwagi,1
1,Haruna,1
2,Barnardiana,1
3,Heyuan,1
4,Tmutarakania,1
5,Chernega,1
6,Tyndall,1
7,Kerch,1
8,Schlegel,1
9,Laques,1
10,Bartolucci,1
11,Oobayashiarata,1
12,Seydler,1
13,Ohtani Hiroshi,1
14,Lozino Lozinskij,1
15,Kraus,1
16,Grange,1
17,Andree,1
18,John Paul Jones,1
19,Bleeker,1
20,Angrogna,1
21,Blaha,1
22,Bastei,1
23,Hildrun,1
24,Tom Lindstrom,0
25,Fugaku,1
26,Schopenhauer,1
27,Vorarlberg,1
28,Gutemberga,1
29,Paulina,1
30,Bruns Andrej,1
31,Saint Mary's,0
32,Hohmann,1
33,Yano,1
34,Reiki,1
35,Bredichina,1
36,Lasorda,1
37,Rosa Hemphill,1
38,Arina,1
39,Delmas,1
40,Manu Boccuni,1
41,Ron Neuman,1
42,Masaryk,1
43,Aquamarine,1
44,Deira,1
45,Waltimyer,1
46,Svecica,1
47,van Leverink,1
48,Rollandia,1
49,Texereau,1
50,Tabora,1
51,Miyama,1
52,Lub,1
53,Ucka,1
54,Garuda,1
55,Nemsu,1
56,Goethe,1
57,Koltsovo,0
58,Vilyujsk,1
59,Lysistrata,1
60,Mons Naklethi,1
61,Kovalevskaya,1
62,Tuchkova,1
63,Roberto Carlos,1
64,AAS,1
65,Hedin,1
66,Amphitrite,1
67,Hortulana,1
68,Putignano,1
69,Mathieu,1
70,Tito,1
71,Haidea,1
72,Veronica Duys,1
73,Natasha Owen,1
74,Serkowski,1
75,Hardy,1
76,Otthild,1
77,Baehr,1
78,Varsavia,1
79,Ramsden,1
80,Kazakov,1
81,Kobresia,1
82,Mertona,1
83,Laffan,1
84,Bustelli,1
85,Zipfel,1
86,Tedesco,1
87,Dagmar,1
88,Isko,1
89,Yunnan,1
90,Botha,1
91,Gilson,1
92,Yuan Longping,1
93,Rhian Jones,1
94,Jetta,1
95,Boris Hanin,1
96,Detre,1
97,Hayachine,1
98,Five sparks,1
99,Po-Ling Loh,0
100,Hirundo,1
101,Groeselenberg,1
102,Tsukuba,1
103,Tokitada,1
104,Peshekhonov,1
105,Batalden,1
106,Vivek Buch,1
107,Mizushima,1
108,Inou Tadataka,1
109,Xanthus,1
110,Vietoris,1
111,Makotoirie,1
112,Quirk,1
113,Lallaward,1
114,Mufson,1
115,Patrick Jones,1
116,Yasuhiko,1
117,Fujimori,1
118,Vorontsova,1
119,Tsawout,1
120,Kallisto,1
121,Ramanlal,1
122,Ticha,1
123,Inagaki,1
124,Amsterdam,1
125,Drake,1
126,Scheherezade,1
127,Hajdukova,1
128,Ristenpart,1
129,Sokolsky,1
130,McGlothlin,1
131,Glyn Jones,1
132,Vaucluse,1
133,Suncar,1
134,Betti,1
135,Rozgaj,1
136,Lumiere,1
137,Imakiire,1
138,Petrarca,1
139,Byelorussia,1
140,Nut,1
141,Dunkerley,1
142,Vinata,1
143,Munari,1
144,Goode,1
145,Worley,1
146,Rawson,1
147,Saragamine,1
148,Harold Connolly,1
149,Dominique,1
150,Delvaux,1
151,Heather Renae,0
152,Heizman,1
153,Viete,1
154,Ahearn,0
155,Duyha,1
156,Kresilas,1
157,Wage,1
158,McGetchin,1
159,Zita,1
160,Naegeli,1
161,Nanette,1
162,Escalante,1
163,Barbi Frank,1
164,Anton Schraut,1
165,Jon Hodge,1
166,Teharonhiawako,1
167,Eckhout,1
168,Minoyama,1
169,Godwin,1
170,Misa,1
171,Jessica Stahl,1
172,Mary Cragg,1
173,Choate,1
174,John Penna,1
175,Clasien,1
176,Evgeny Amosov,1
177,Bedini,1
178,Moiseyev,0
179,Kobe-Daigaku Tenmon Kenkyu-kai,0
180,Mispagel,1
181,Aisha,1
182,Dellen,1
183,Krat,1
184,Miune,1
